id_machine,id_entrepot,type_machine,annee_mois,temps_arret_panne,nb_pannes_machines,volume_traite,delai_moyen_livraison_entrepot_mois
ME001006,E001,Stockage,2019-12,0,0,245,
ME001007,E001,Stockage,2019-12,0,0,290,
ME001012,E001,Tri,2019-12,0,0,262,
ME001018,E001,Transport,2019-12,0,0,284,
ME001019,E001,Conditionnement,2019-12,0,0,263,
ME001022,E001,Stockage,2019-12,0,0,241,
ME001023,E001,Conditionnement,2019-12,0,0,307,
ME001025,E001,Stockage,2019-12,0,0,254,
ME001029,E001,Stockage,2019-12,0,0,304,
ME001031,E001,Transport,2019-12,0,0,232,
ME001032,E001,Conditionnement,2019-12,0,0,294,
ME002001,E002,Stockage,2019-12,0,0,333,
ME002002,E002,Conditionnement,2019-12,0,0,288,
ME002005,E002,Transport,2019-12,0,0,233,
ME002008,E002,Tri,2019-12,0,0,219,
ME002011,E002,Tri,2019-12,0,0,408,
ME002012,E002,Conditionnement,2019-12,0,0,567,
ME002016,E002,Maintenance,2019-12,0,0,208,
ME002018,E002,Tri,2019-12,0,0,522,
ME002020,E002,Conditionnement,2019-12,0,0,261,
ME002030,E002,Transport,2019-12,0,0,520,
ME003009,E003,Maintenance,2019-12,0,0,233,
ME003010,E003,Transport,2019-12,0,0,317,
ME003019,E003,Maintenance,2019-12,0,0,542,
ME003023,E003,Tri,2019-12,0,0,470,
ME003025,E003,Conditionnement,2019-12,0,0,291,
ME003026,E003,Tri,2019-12,0,0,495,
ME003031,E003,Conditionnement,2019-12,0,0,273,
ME003033,E003,Conditionnement,2019-12,0,0,358,
ME003034,E003,Stockage,2019-12,0,0,285,
ME003037,E003,Tri,2019-12,0,0,346,
ME004004,E004,Transport,2019-12,0,0,306,
ME004016,E004,Conditionnement,2019-12,0,0,264,
ME004017,E004,Tri,2019-12,0,0,379,
ME004018,E004,Transport,2019-12,0,0,489,
ME004026,E004,Stockage,2019-12,0,0,539,
ME004028,E004,Maintenance,2019-12,0,0,277,
ME005004,E005,Conditionnement,2019-12,0,0,528,
ME005005,E005,Tri,2019-12,0,0,279,
ME005011,E005,Tri,2019-12,0,0,210,
ME005022,E005,Stockage,2019-12,0,0,289,
ME005023,E005,Stockage,2019-12,0,0,272,
ME005027,E005,Stockage,2019-12,0,0,224,
ME005032,E005,Maintenance,2019-12,0,0,501,
ME005034,E005,Conditionnement,2019-12,0,0,273,
ME005035,E005,Maintenance,2019-12,0,0,407,
ME005036,E005,Tri,2019-12,0,0,275,
ME006002,E006,Transport,2019-12,0,0,484,
ME006003,E006,Tri,2019-12,0,0,254,
ME006010,E006,Conditionnement,2019-12,0,0,259,
ME006012,E006,Conditionnement,2019-12,0,0,522,
ME006015,E006,Transport,2019-12,0,0,298,
ME006016,E006,Transport,2019-12,0,0,532,
ME006022,E006,Stockage,2019-12,0,0,248,
ME006023,E006,Conditionnement,2019-12,0,0,282,
ME006026,E006,Tri,2019-12,0,0,219,
ME007003,E007,Transport,2019-12,0,0,533,
ME007006,E007,Tri,2019-12,0,0,281,
ME007010,E007,Conditionnement,2019-12,0,0,514,
ME007011,E007,Transport,2019-12,0,0,549,
ME007013,E007,Conditionnement,2019-12,0,0,279,
ME007019,E007,Stockage,2019-12,0,0,293,
ME007025,E007,Stockage,2019-12,0,0,314,
ME007029,E007,Maintenance,2019-12,0,0,190,
ME007037,E007,Stockage,2019-12,0,0,221,
ME008004,E008,Tri,2019-12,0,0,275,
ME008005,E008,Maintenance,2019-12,0,0,233,
ME008009,E008,Tri,2019-12,0,0,521,
ME008017,E008,Conditionnement,2019-12,0,0,538,
ME008023,E008,Stockage,2019-12,0,0,265,
ME008025,E008,Tri,2019-12,0,0,506,
ME008027,E008,Conditionnement,2019-12,0,0,499,
ME008029,E008,Transport,2019-12,0,0,317,
ME009003,E009,Conditionnement,2019-12,0,0,309,
ME009007,E009,Tri,2019-12,0,0,266,
ME009010,E009,Stockage,2019-12,0,0,503,
ME009013,E009,Transport,2019-12,0,0,193,
ME009014,E009,Transport,2019-12,0,0,470,
ME009016,E009,Stockage,2019-12,0,0,250,
ME009018,E009,Tri,2019-12,0,0,236,
